match id,series id,end time,duration (s),mode,map,team,player,win?,score,kills,deaths,+/-,k/d,kills per 10min,deaths per 10min,assists,headshots,suicides,team kills,team deaths,kills (stayed alive),hits,shots,accuracy (%),num lives,time alive (s),avg time per life (s),fave weapon,fave division,fave training,fave scorestreaks,hill time (s),hill captures,hill defends,snd rounds,snd firstbloods,snd firstdeaths,snd survives,bomb pickups,bomb plants,bomb defuses,bomb sneak defuses,snd 1-kill round,snd 2-kill round,snd 3-kill round,snd 4-kill round,ctf captures,ctf returns,ctf pickups,ctf defends,ctf kill carriers,ctf flag carry time (s),2-piece,3-piece,4-piece,4-streak,5-streak,6-streak,7-streak,8+-streak,scorestreaks earned,scorestreaks used,scorestreaks deployed,scorestreaks kills,scorestreaks assists
918b34a2-b3ab-5a18-8b46-439d83753780,rel-winners-2-0,2018-04-20 00:04:44 UTC,485,Search & Destroy,London Docks,Mindfreak,Buzzo,W,6,10,1,9,10,12.4,1.2,1,0,0,0,0,9,48,271,17.70%,7,487.1,69.6,STG-44,,infantry_grandmaster,"Fighter Pilot, Glide Bomb, Artillery Barrage",0,0,0,7,2,0,6,1,1,0,0,4,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,3,1,1,1,0
3160f609-edce-5a4d-92f1-41411e263cbd,rel-losers-2-1,2018-04-20 02:24:13 UTC,679,Search & Destroy,London Docks,Tainted Minds,Swifty,W,6,9,5,4,1.8,8,4.4,1,0,0,0,0,8,30,139,21.60%,9,594.4,66,Springfield,,mountain_grandmaster,"Fighter Pilot, Glide Bomb, Artillery Barrage",0,0,0,9,1,1,4,2,2,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
fed0b44b-1dde-5357-971c-fd90b9aa38fc,rel-losers-2-0,2018-04-20 02:19:05 UTC,714,Search & Destroy,Sainte Marie du Mont,Team Vitality,Wailers,L,4,7,5,2,1.4,5.9,4.2,2,0,0,0,0,7,36,166,21.70%,10,654.7,65.5,STG-44,,Scoped,"Fighter Pilot, Glide Bomb, Artillery Barrage",0,0,0,10,0,1,5,3,0,1,0,4,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3160f609-edce-5a4d-92f1-41411e263cbd,rel-losers-2-1,2018-04-20 02:24:13 UTC,679,Search & Destroy,London Docks,GGEA Orange,Mayhem,L,3,11,5,6,2.2,9.7,4.4,1,0,0,0,0,11,44,178,24.70%,9,579.3,64.4,STG-44,,Scoped,"Fighter Pilot, Glide Bomb, Mortar Strike",0,0,0,9,3,1,4,3,3,0,0,3,2,0,1,0,0,0,0,0,0,3,0,0,1,0,0,0,0,3,3,3,1,0
fed0b44b-1dde-5357-971c-fd90b9aa38fc,rel-losers-2-0,2018-04-20 02:19:05 UTC,714,Search & Destroy,Sainte Marie du Mont,Team Vitality,MarkyB,L,4,6,7,-1,0.86,5,5.9,2,2,0,0,0,5,27,99,27.30%,10,636.5,63.6,STG-44,,Scoped,"Fighter Pilot, Glide Bomb, Mortar Strike",0,0,0,10,1,1,3,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fed0b44b-1dde-5357-971c-fd90b9aa38fc,rel-losers-2-0,2018-04-20 02:19:05 UTC,714,Search & Destroy,Sainte Marie du Mont,Epsilon,Vortex,W,6,3,4,-1,0.75,2.5,3.4,4,0,0,0,0,3,23,120,19.20%,10,631.7,63.2,PPSh-41,,armored_grandmaster,"Fighter Pilot, Glide Bomb, Mortar Strike",0,0,0,10,0,1,6,5,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02017059-d45c-57e8-b55f-60721a6cab43,rel-winners-1-3,2018-04-19 22:27:28 UTC,633,Search & Destroy,London Docks,GGEA Orange,Mayhem,L,2,8,6,2,1.33,7.6,5.7,2,1,0,0,0,7,39,264,14.80%,8,491.9,61.5,STG-44,,armored_grandmaster,"Fighter Pilot, Glide Bomb, Artillery Barrage",0,0,0,8,1,0,2,4,1,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ee2ce46d-3a73-563b-934e-f738a4b1e4ef,rel-winners-2-1,2018-04-20 00:39:44 UTC,605,Search & Destroy,Sainte Marie du Mont,Evil Geniuses,Apathy,W,6,8,3,5,2.67,7.9,3,5,0,0,0,0,8,43,196,21.90%,9,552,61.3,PPSh-41,,Energetic,"Fighter Pilot, Glide Bomb, Artillery Barrage",0,0,0,9,1,0,6,1,1,0,0,5,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
19bd7ae8-c530-5a12-8fad-9642fda0c22f,rel-winners-1-1,2018-04-19 20:35:42 UTC,588,Search & Destroy,Sainte Marie du Mont,Tainted Minds,Swifty,W,6,5,4,1,1.25,5.1,4.1,0,1,0,0,0,5,12,56,21.40%,9,547.8,60.9,STG-44,,mountain_grandmaster,"Fighter Pilot, Glide Bomb, Artillery Barrage",0,0,0,9,1,0,5,4,2,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d72fb198-68f3-5849-8c2e-70afd3de1051,rel-winners-1-0,2018-04-19 19:44:51 UTC,503,Search & Destroy,Sainte Marie du Mont,Mindfreak,Buzzo,W,6,8,3,5,2.67,9.5,3.6,2,0,0,0,0,8,37,171,21.60%,8,485.4,60.7,STG-44,,infantry_grandmaster,"Fighter Pilot, Glide Bomb, Artillery Barrage",0,0,0,8,0,1,5,1,1,0,0,1,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0
