match id,series id,end time,duration (s),mode,map,team,player,win?,score,kills,deaths,+/-,k/d,kills per 10min,deaths per 10min,assists,headshots,suicides,team kills,team deaths,kills (stayed alive),hits,shots,accuracy (%),num lives,time alive (s),avg time per life (s),fave weapon,fave division,fave training,fave scorestreaks,hill time (s),hill captures,hill defends,snd rounds,snd firstbloods,snd firstdeaths,snd survives,bomb pickups,bomb plants,bomb defuses,bomb sneak defuses,snd 1-kill round,snd 2-kill round,snd 3-kill round,snd 4-kill round,ctf captures,ctf returns,ctf pickups,ctf defends,ctf kill carriers,ctf flag carry time (s),2-piece,3-piece,4-piece,4-streak,5-streak,6-streak,7-streak,8+-streak,scorestreaks earned,scorestreaks used,scorestreaks deployed,scorestreaks kills,scorestreaks assists
8c74b1b1-5a1c-5972-b42c-2b830ad30b17,pool-B-8,2018-04-22 01:24:59 UTC,879,Search & Destroy,London Docks,Unilad,Wuskin,L,4,12,6,6,2,8.2,4.1,2,5,0,0,0,11,57,260,21.90%,10,826.4,82.6,STG-44,,infantry_grandmaster,"Fighter Pilot, Glide Bomb, Artillery Barrage",0,0,0,10,1,0,4,2,2,0,0,4,2,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
ff41c753-72b0-5c31-81ed-374f685efb89,champs-losers-3-3,2018-04-22 05:43:20 UTC,660,Search & Destroy,USS Texas,Unilad,Seany,W,6,20,2,18,10,18.2,1.8,0,0,0,0,0,20,55,189,29.10%,9,652.2,72.5,PPSh-41,,Energetic,"Fighter Pilot, Glide Bomb, Artillery Barrage",0,0,0,9,3,1,7,2,0,1,0,0,4,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,3,3,4,0
58838563-8458-586c-a819-86b2923d394b,pool-B-4,2018-04-21 00:24:19 UTC,574,Search & Destroy,USS Texas,Unilad,Skrapz,W,6,15,2,13,7.5,15.7,2.1,0,2,0,0,0,15,22,50,44.00%,8,570,71.2,Springfield,,mountain_grandmaster,"Fighter Pilot, Glide Bomb, Artillery Barrage",0,0,0,8,3,0,6,1,0,0,0,2,3,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,2,2,2,0
8c74b1b1-5a1c-5972-b42c-2b830ad30b17,pool-B-8,2018-04-22 01:24:59 UTC,879,Search & Destroy,London Docks,Ghost Gaming,Pandur,W,6,10,7,3,1.43,6.8,4.8,2,1,0,0,0,10,60,375,16.00%,10,708.4,70.8,STG-44,,Scoped,"Fighter Pilot, Glide Bomb, Artillery Barrage",0,0,0,10,0,1,3,2,2,0,0,3,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0
ff41c753-72b0-5c31-81ed-374f685efb89,champs-losers-3-3,2018-04-22 05:43:20 UTC,660,Search & Destroy,USS Texas,Red Reserve,Zer0,L,3,9,5,4,1.8,8.2,4.5,0,1,0,0,0,6,16,43,37.20%,9,626.9,69.7,Springfield,,Energetic,"Fighter Pilot, Glide Bomb, Artillery Barrage",0,0,0,9,1,0,4,0,0,0,0,3,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
841804de-c734-553e-872a-498df3fa8d87,pool-B-5,2018-04-20 21:46:39 UTC,599,Capture The Flag,London Docks,Team EnVyUs,Huke,W,8,26,6,20,4.33,26,6,0,1,0,0,0,24,124,534,23.20%,8,542.8,67.8,PPSh-41,,Energetic,"Fighter Pilot, Glide Bomb, Artillery Barrage",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,5,2,3,55.1,4,1,0,1,0,0,1,1,8,6,6,3,0
8c74b1b1-5a1c-5972-b42c-2b830ad30b17,pool-B-8,2018-04-22 01:24:59 UTC,879,Search & Destroy,London Docks,Unilad,Skrapz,L,4,9,7,2,1.29,6.1,4.8,2,2,0,0,0,8,25,187,13.40%,10,666.8,66.7,Springfield,,mountain_grandmaster,"Fighter Pilot, Glide Bomb, Artillery Barrage",0,0,0,10,3,0,3,1,1,0,0,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
58838563-8458-586c-a819-86b2923d394b,pool-B-4,2018-04-21 00:24:19 UTC,574,Search & Destroy,USS Texas,Team EnVyUs,Decemate,L,2,4,6,-2,0.67,4.2,6.3,1,1,0,0,0,3,24,138,17.40%,8,522.3,65.3,BAR,,armored_grandmaster,"Fighter Pilot, Glide Bomb, Artillery Barrage",0,0,0,8,2,1,2,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8c74b1b1-5a1c-5972-b42c-2b830ad30b17,pool-B-8,2018-04-22 01:24:59 UTC,879,Search & Destroy,London Docks,Ghost Gaming,Lacefield,W,6,6,8,-2,0.75,4.1,5.5,1,0,0,0,0,3,33,227,14.50%,10,645,64.5,PPSh-41,,Energetic,"Fighter Pilot, Glide Bomb, Artillery Barrage",0,0,0,10,0,0,2,3,2,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58838563-8458-586c-a819-86b2923d394b,pool-B-4,2018-04-21 00:24:19 UTC,574,Search & Destroy,USS Texas,Unilad,Wuskin,W,6,2,3,-1,0.67,2.1,3.1,0,0,0,0,0,2,12,67,17.90%,8,514.5,64.3,STG-44,,infantry_grandmaster,"Fighter Pilot, Glide Bomb, Artillery Barrage",0,0,0,8,0,0,5,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88d22d39-0120-54c8-95a7-df25e73f6ba6,pool-C-6,2018-04-22 00:25:06 UTC,463,Search & Destroy,Sainte Marie du Mont,Enigma6,Sender,W,6,4,2,2,2,5.2,2.6,7,0,0,0,0,4,27,168,16.10%,7,446.9,63.8,STG-44,,Scoped,"Fighter Pilot, Glide Bomb, Mortar Strike",0,0,0,7,0,0,5,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
