match id,series id,end time,duration (s),mode,map,team,player,win?,score,kills,deaths,+/-,k/d,kills per 10min,deaths per 10min,assists,headshots,suicides,team kills,team deaths,kills (stayed alive),hits,shots,accuracy (%),num lives,time alive (s),avg time per life (s),fave weapon,fave division,fave training,fave scorestreaks,hill time (s),hill captures,hill defends,snd rounds,snd firstbloods,snd firstdeaths,snd survives,bomb pickups,bomb plants,bomb defuses,bomb sneak defuses,snd 1-kill round,snd 2-kill round,snd 3-kill round,snd 4-kill round,ctf captures,ctf returns,ctf pickups,ctf defends,ctf kill carriers,ctf flag carry time (s),2-piece,3-piece,4-piece,4-streak,5-streak,6-streak,7-streak,8+-streak,scorestreaks earned,scorestreaks used,scorestreaks deployed,scorestreaks kills,scorestreaks assists
bf9b9cf6-fbba-58fb-805a-11906a64f613,pool-B-4,2018-06-16 02:28:58 UTC,553,Capture The Flag,Flak Tower,OpTic Gaming,Methodz,W,1,10,4,6,2.5,10.8,4.3,0,0,0,0,0,8,24,95,25.30%,6,515.3,85.9,PPSh-41,,armored_grandmaster,"Fighter Pilot, Glide Bomb, Artillery Barrage",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2,10,3,0,0,1,0,1,0,0,3,0,0,0,0
ede9377e-5f57-56f1-bcf3-c0cd040a766f,champs-losers-6-0,2018-06-17 20:31:27 UTC,683,Search & Destroy,USS Texas,Unilad,Wuskin,W,6,7,5,2,1.4,6.1,4.4,0,0,0,0,0,6,7,33,21.20%,9,663.2,73.7,Springfield,,mountain_grandmaster,"Fighter Pilot, Glide Bomb, Artillery Barrage",0,0,0,9,1,0,4,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dba2c1b9-e1d8-5c4c-a9a0-e6eea7f616e2,champs-losers-1-3,2018-06-17 03:17:33 UTC,756,Search & Destroy,USS Texas,Regal Morituri,mosh,W,6,6,5,1,1.2,4.8,4,0,1,0,0,0,6,30,156,19.20%,10,714.6,71.5,STG-44,,Scoped,"Fighter Pilot, Glide Bomb, Artillery Barrage",0,0,0,10,0,1,5,1,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dba2c1b9-e1d8-5c4c-a9a0-e6eea7f616e2,champs-losers-1-3,2018-06-17 03:17:33 UTC,756,Search & Destroy,USS Texas,Tainted Minds,Swifty,L,4,8,5,3,1.6,6.3,4,0,1,0,0,0,8,8,43,18.60%,10,713.5,71.3,Springfield,,mountain_grandmaster,"Fighter Pilot, Glide Bomb, Artillery Barrage",0,0,0,10,3,1,5,2,1,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
f4cfcae1-4138-54ac-9a6f-6c59eddfdd9b,champs-losers-4-0,2018-06-17 18:38:31 UTC,666,Search & Destroy,Sainte Marie du Mont,Mindfreak,Buzzo,W,6,6,3,3,2,5.4,2.7,3,1,0,0,0,5,31,132,23.50%,9,639.8,71.1,STG-44,,infantry_grandmaster,"Fighter Pilot, Glide Bomb, Mortar Strike",0,0,0,9,1,0,6,1,1,1,0,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2,2,0,0
f4cfcae1-4138-54ac-9a6f-6c59eddfdd9b,champs-losers-4-0,2018-06-17 18:38:31 UTC,666,Search & Destroy,Sainte Marie du Mont,Splyce,MadCat,L,3,6,6,0,1,5.4,5.4,2,0,0,0,0,4,13,120,10.80%,9,633.5,70.4,STG-44,,Hunker,"Fighter Pilot, Glide Bomb, Artillery Barrage",0,0,0,9,1,0,3,1,0,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26c89777-c434-52dd-b61a-3b6171d56f22,pool-A-3,2018-06-15 21:31:32 UTC,827,Search & Destroy,USS Texas,Tainted Minds,Damage,W,6,7,6,1,1.17,5.1,4.4,1,0,0,0,0,7,29,353,8.20%,10,699.1,69.9,STG-44,,mountain_grandmaster,"Fighter Pilot, Glide Bomb, Artillery Barrage",0,0,0,10,0,1,4,0,0,1,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
433cb9fa-4e79-5428-89c4-56ef56870ffe,pool-C-2,2018-06-16 05:31:15 UTC,784,Search & Destroy,USS Texas,Complexity,Ricky,L,4,5,8,-3,0.62,3.8,6.1,0,1,0,0,0,5,24,128,18.80%,10,697,69.7,STG-44,,infantry_grandmaster,"Fighter Pilot, Glide Bomb, Artillery Barrage",0,0,0,10,0,0,2,0,0,0,0,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
a8769500-a725-5864-9420-e48a60075f01,champs-losers-2-3,2018-06-17 04:46:02 UTC,818,Search & Destroy,London Docks,Epsilon,Dqvee,L,4,7,8,-1,0.88,5.1,5.9,2,0,0,0,0,6,47,281,16.70%,10,678.4,67.8,PPSh-41,,Scoped,"Fighter Pilot, Glide Bomb, Artillery Barrage",0,0,0,10,2,0,2,1,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
e352130a-62f0-5092-a578-ca73a47cbb9b,champs-winners-2-0,2018-06-17 18:47:19 UTC,636,Search & Destroy,Sainte Marie du Mont,Red Reserve,Zer0,W,6,5,6,-1,0.83,4.7,5.7,1,1,0,0,0,5,24,166,14.50%,8,538.5,67.3,BAR,,Scoped,"Fighter Pilot, Glide Bomb, Artillery Barrage",0,0,0,8,0,2,2,3,3,1,0,1,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
