"","event","map","player.1","player.2","trade","opp","pos.x","pos.y","gun","round_win","game_win","offdef","round_time","round","first_kill","team","id","site"
"1","kill","Ardennes Forest","SAINTS","APATHY",0,"EVIL GENIUSES",453,419,"PPSh-41",1,1,"off",15950,1,1,"ECHO FOX","ad2c7b96-466f-5105-9be1-6b03afe0423f","A"
"2","kill","Ardennes Forest","FACCENTO","ACHES",0,"EVIL GENIUSES",504,591,"STG-44",1,1,"off",43600,1,0,"ECHO FOX","ad2c7b96-466f-5105-9be1-6b03afe0423f","B"
"3","kill","Ardennes Forest","TEMP","SILLY",0,"EVIL GENIUSES",529,748,"PPSh-41",1,1,"off",48250,1,0,"ECHO FOX","ad2c7b96-466f-5105-9be1-6b03afe0423f","B"
"4","kill","Ardennes Forest","AQUA","ASSAULT",2,"EVIL GENIUSES",374,228,"STG-44",1,1,"off",56000,1,0,"ECHO FOX","ad2c7b96-466f-5105-9be1-6b03afe0423f","A"
"5","kill","Ardennes Forest","SAINTS","ASSAULT",0,"EVIL GENIUSES",582,494,"PPSh-41",0,1,"def",8050,2,1,"ECHO FOX","ad2c7b96-466f-5105-9be1-6b03afe0423f","M"
"6","kill","Ardennes Forest","APATHY","TEMP",0,"ECHO FOX",445,476,"PPSh-41",1,0,"off",9850,2,0,"EVIL GENIUSES","ad2c7b96-466f-5105-9be1-6b03afe0423f","M"
"7","kill","Ardennes Forest","APATHY","SAINTS",0,"ECHO FOX",433,491,"PPSh-41",1,0,"off",10850,2,0,"EVIL GENIUSES","ad2c7b96-466f-5105-9be1-6b03afe0423f","M"
"8","kill","Ardennes Forest","SILLY","FACCENTO",0,"ECHO FOX",519,570,"PPSh-41",1,0,"off",16100,2,0,"EVIL GENIUSES","ad2c7b96-466f-5105-9be1-6b03afe0423f","M"
"9","kill","Ardennes Forest","APATHY","AQUA",2,"ECHO FOX",349,484,"PPSh-41",1,0,"off",27900,2,0,"EVIL GENIUSES","ad2c7b96-466f-5105-9be1-6b03afe0423f","M"
"10","kill","Ardennes Forest","FACCENTO","SILLY",1,"EVIL GENIUSES",453,473,"STG-44",1,1,"off",49300,3,1,"ECHO FOX","ad2c7b96-466f-5105-9be1-6b03afe0423f","M"
"11","kill","Ardennes Forest","ACHES","FACCENTO",1,"ECHO FOX",545,627,"STG-44",0,0,"def",50050,3,0,"EVIL GENIUSES","ad2c7b96-466f-5105-9be1-6b03afe0423f","B"
"12","kill","Ardennes Forest","AQUA","ACHES",0,"EVIL GENIUSES",409,692,"STG-44",1,1,"off",50450,3,0,"ECHO FOX","ad2c7b96-466f-5105-9be1-6b03afe0423f","B"
"13","kill","Ardennes Forest","SAINTS","APATHY",0,"EVIL GENIUSES",606,682,"PPSh-41",1,1,"off",55450,3,0,"ECHO FOX","ad2c7b96-466f-5105-9be1-6b03afe0423f","B"
"14","kill","Ardennes Forest","SAINTS","ASSAULT",2,"EVIL GENIUSES",535,674,"PPSh-41",1,1,"off",69950,3,0,"ECHO FOX","ad2c7b96-466f-5105-9be1-6b03afe0423f","B"
"15","kill","Ardennes Forest","AQUA","ACHES",1,"EVIL GENIUSES",715,313,"STG-44",1,1,"def",15700,4,1,"ECHO FOX","ad2c7b96-466f-5105-9be1-6b03afe0423f","A"
"16","kill","Ardennes Forest","SILLY","AQUA",0,"ECHO FOX",660,272,"PPSh-41",0,0,"off",18150,4,0,"EVIL GENIUSES","ad2c7b96-466f-5105-9be1-6b03afe0423f","A"
"17","kill","Ardennes Forest","ASSAULT","FACCENTO",0,"ECHO FOX",567,243,"STG-44",0,0,"off",22550,4,0,"EVIL GENIUSES","ad2c7b96-466f-5105-9be1-6b03afe0423f","A"
"18","kill","Ardennes Forest","TEMP","APATHY",0,"EVIL GENIUSES",674,418,"PPSh-41",1,1,"def",23000,4,0,"ECHO FOX","ad2c7b96-466f-5105-9be1-6b03afe0423f","A"
"19","kill","Ardennes Forest","SAINTS","ASSAULT",0,"EVIL GENIUSES",539,228,"PPSh-41",1,1,"def",29000,4,0,"ECHO FOX","ad2c7b96-466f-5105-9be1-6b03afe0423f","A"
"20","kill","Ardennes Forest","TEMP","SILLY",2,"EVIL GENIUSES",685,426,"PPSh-41",1,1,"def",29550,4,0,"ECHO FOX","ad2c7b96-466f-5105-9be1-6b03afe0423f","A"
"21","kill","Ardennes Forest","SAINTS","APATHY",0,"EVIL GENIUSES",434,699,"PPSh-41",1,1,"off",8500,5,1,"ECHO FOX","ad2c7b96-466f-5105-9be1-6b03afe0423f","B"
"22","kill","Ardennes Forest","AQUA","SILLY",0,"EVIL GENIUSES",526,745,"STG-44",1,1,"off",29350,5,0,"ECHO FOX","ad2c7b96-466f-5105-9be1-6b03afe0423f","B"
"23","kill","Ardennes Forest","SAINTS","ASSAULT",0,"EVIL GENIUSES",548,644,"PPSh-41",1,1,"off",40050,5,0,"ECHO FOX","ad2c7b96-466f-5105-9be1-6b03afe0423f","B"
"24","kill","Ardennes Forest","AQUA","ACHES",2,"EVIL GENIUSES",541,759,"STG-44",1,1,"off",40500,5,0,"ECHO FOX","ad2c7b96-466f-5105-9be1-6b03afe0423f","B"
"25","kill","Ardennes Forest","ACHES","FACCENTO",0,"ECHO FOX",306,711,"STG-44",0,0,"off",12500,6,1,"EVIL GENIUSES","ad2c7b96-466f-5105-9be1-6b03afe0423f","B"
